rating,title,body
5.0,great product,very nice and comfortable
4.0,good quality product,it s look nice
4.0,pretty good,good coletti
4.0,value for money,love the product take size 1 number smaller than original number
5.0,mind blowing purchase,"very good shoe, lightweight"
4.0,really nice,good product
5.0,just wow!,fit perfectly as excepted..... love it
5.0,terrific purchase,super comfortable and elegant
5.0,mind blowing purchase,it s a good quality
5.0,wonderful,good
5.0,awesome,worthy really like it advice other to buy
5.0,excellent,go for these shoes without any doubt! the color isn t your usual blue but so so pretty.. these are my first pairs of skechers everrrr and now i can t go back to any other shoes.. flipkart offers you g...
4.0,wonderful,good
5.0,great product,excellent
5.0,just wow!,excellent product
5.0,terrific,comfort shoe
5.0,best in the market!,very good
5.0,best in the market!,skechers are most comfortable easy to slip into sober colour good quality .loved to have it
5.0,excellent,great shoes.... comfortable highly recommend
5.0,worth every penny,"love these shoes...very comfortable, excellent quality"
5.0,wonderful,original brand and very comfortable shoes i like it
5.0,super!,supar
5.0,classy product,a good one light weight must buy
5.0,worth every penny,"excellent, comfortable toe space"
5.0,fabulous!,nice light weight comfortable
5.0,fabulous!,very comfortable and nice look
5.0,great product,good quality
4.0,nice product,"nice performance,good quality and comfortable for longtime use...."
5.0,terrific,feel comfortable and value for money
4.0,value for money,nuce
5.0,awesome,nice product good for running under 4k
0.0,no title,i m athletic... this product good comfortable running
0.0,no title,thanks nike good product
0.0,no title,very nice product thank you flipkart
0.0,no title,the product is really great. comfortable fit but go with 1 size than what you wear regular if you have wide feet.
0.0,no title,"comfortable, light weight, easy to clean, love it"
0.0,no title,"awesome shoe , comfortable cushiony for feet, happy with the product"
0.0,no title,"i recently purchased the revolution 7 running shoes for men in black, and i must say, i am thoroughly impressed. these shoes are hands down the most comfortable pair i have ever owned. the soft sole p..."
5.0,simply awesome,really appreciate
4.0,good quality product,comfortability is ok
5.0,simply awesome,"og shoes, first i was hesitant to order this one because no reviews were available. that s why i m putting this up so that you guys can see what it looks like. if you have the budget, go for it, it wo..."
5.0,best in the market!,this product is worth of money
5.0,brilliant,best sneakers in the price range can definitely consider smart stylish and elegant. not chunky and overdone they are simple and classic
5.0,just wow!,better to take black colour overall good.
5.0,excellent,comfort
5.0,wonderful,good product
